Account,Symbol,Type,Quantity,Exp Date,DTE,Strike Price,Call/Put,Underlying Last Price,Chg %,P/L Open,P/L Opn%,P/L Day,Days To Expiration,PoP,Trade Price,Mark,β Delta,Delta,Theta,IV Rank,IV Idx 5d Chg,Ext,Indicators
5WW34822,./6CM5 CAUK5 250509C0.735,FUTURES_OPTION,-1,"May 9, 2025",41d,0.735,Call,.70105,0.00%,34.99,70.0%,-0.01,41d,< 1%,.00050,-.00015,0.00,-24.79,1.127,67.8,0.1%,15.01,
5WW34822,./6CM5 CAUK5 250509P0.67,FUTURES_OPTION,-1,"May 9, 2025",41d,0.67,Put,.70105,-10.00%,10.29,17.1%,0.29,41d,< 1%,.00060,-.00050,0.00,58.21,2.735,67.8,0.1%,49.71,
5WW34822,./MESM5EX3K5 250516P4700,FUTURES_OPTION,-2,"May 16, 2025",48d,4700,Put,"5,602.75",51.9%,13.63,9.2%,-11.37,48d,< 1%,14.75,-13.39,5.06,5.06,6.457,39.5,-2.0%,133.87,
5WW34822,./MESM5EX3K5 250516P5350,FUTURES_OPTION,-1,"May 16, 2025",48d,5350,Put,"5,602.75",77.4%,-41.67,-12.4%,-31.67,48d,< 1%,67.25,-75.58,13.57,13.57,7.431,39.5,-2.0%,377.92,
5WW34822,./MESM5EX3K5 250516P5400,FUTURES_OPTION,1,"May 16, 2025",48d,5400,Put,"5,602.75",75.0%,50.87,13.3%,34.62,48d,< 1%,-76.75,86.92,-15.37,-15.37,-7.663,39.5,-2.0%,-434.62,
5WW34822,./MESM5EX3K5 250516P5500,FUTURES_OPTION,-1,"May 16, 2025",48d,5500,Put,"5,602.75",74.8%,-55.69,-10.7%,-41.94,48d,< 1%,104.25,-115.39,19.57,19.57,7.934,39.5,-2.0%,576.94,
5WW34822,./MESM5EX3K5 250516P5600,FUTURES_OPTION,1,"May 16, 2025",48d,5600,Put,"5,602.75",60.4%,156.10,25.9%,53.60,48d,< 1%,-120.50,151.72,-24.49,-24.49,-7.761,39.5,-2.0%,-758.60,
5WW34822,./MESM5EXH5  250331P5400,FUTURES_OPTION,-2,"Mar 31, 2025",2d,5400,Put,"5,602.75",20.0%,151.81,93.4%,-4.69,2d,< 1%,16.25,-1.07,2.61,2.61,10.664,39.5,-2.0%,10.69,
5WW34822,./MESM5MESM5 250620P5600,FUTURES_OPTION,-1,"Jun 20, 2025",82d,5600,Put,"5,602.75",49.3%,-495.80,-108.1%,-50.80,82d,< 1%,91.75,-190.91,24.51,24.51,5.715,39.5,-2.0%,954.55,
5WW34822,./MESM5MESM5 250620P5700,FUTURES_OPTION,1,"Jun 20, 2025",82d,5700,Put,"5,602.75",40.7%,633.36,117.8%,59.61,82d,< 1%,-107.50,234.17,-29.01,-29.01,-5.270,39.5,-2.0%,-684.61,
5WW34822,./MESM5X3DJ5 250417P5100,FUTURES_OPTION,-2,"Apr 17, 2025",19d,5100,Put,"5,602.75",122.2%,59.99,36.4%,-10.51,19d,< 1%,16.50,-10.50,6.69,6.69,11.372,39.5,-2.0%,105.01,
5WW34822,./MESU5EX3N5 250718P5500,FUTURES_OPTION,-1,"Jul 18, 2025",111d,5500,Put,"5,650.00",38.5%,-342.08,-68.4%,-39.58,111d,< 1%,100.00,-168.42,19.11,19.11,4.965,39.5,-2.0%,842.08,
5WW34822,./MESU5EX3N5 250718P5600,FUTURES_OPTION,1,"Jul 18, 2025",111d,5600,Put,"5,650.00",-15.17%,424.76,72.8%,46.01,111d,< 1%,-116.75,201.70,-22.36,-22.36,-4.876,39.5,-2.0%,"-1,008.51",
5WW34822,./MESU5EX3Q5 250815P5150,FUTURES_OPTION,-1,"Aug 15, 2025",139d,5150,Put,"5,650.00",34.9%,-21.92,-4.3%,-20.67,139d,< 1%,102.50,-106.88,11.40,11.40,4.017,39.5,-2.0%,534.42,
5WW34822,./MESU5EX3Q5 250815P5250,FUTURES_OPTION,1,"Aug 15, 2025",139d,5250,Put,"5,650.00",2.51%,30.70,5.1%,25.70,139d,< 1%,-120.50,126.64,-13.34,-13.34,-4.201,39.5,-2.0%,-633.20,
5WW34822,./ZCK5 OZCK5 250425C470,FUTURES_OPTION,-1,"Apr 25, 2025",27d,470,Call,453.000,29.5%,45.59,11.6%,1.84,27d,< 1%,7.875,-6.963,0.00,-397.29,10.988,80.5,-2.0%,348.16,
5WW34822,./ZCK5 OZCK5 250425P470,FUTURES_OPTION,-1,"Apr 25, 2025",27d,470,Put,453.000,-6.40%,-542.12,-82.6%,-10.87,27d,< 1%,13.125,-23.967,0.00,833.48,10.715,80.5,-2.0%,348.37,
5WW34822,GDX   250516C00051000,OPTION,-1,"May 16, 2025",48d,51,Call,45.58,0.00%,4.00,7.1%,1.00,48d,85%,0.56,-0.52,-1.39,-18.83,1.494,36.6,3.0%,52.00,
5WW34822,GDX   250516P00042000,OPTION,-1,"May 16, 2025",48d,42,Put,45.58,1.54%,-11.00,-19.3%,0.00,48d,78%,0.57,-0.68,1.60,21.64,1.546,36.6,3.0%,68.00,
5WW34822,GLD   250516C00280000,OPTION,-1,"May 16, 2025",48d,280,Call,284.08,18.0%,-298.00,-46.1%,-11.00,48d,56%,6.47,-9.45,-6.89,-61.21,7.014,33.9,0.3%,537.00,
5WW34822,GLD   250516C00287000,OPTION,1,"May 16, 2025",48d,287,Call,284.08,20.0%,207.00,58.3%,9.00,48d,35%,-3.55,5.62,5.12,45.42,-6.958,33.9,0.3%,-562.00,
5WW34822,GLD   250516P00268000,OPTION,1,"May 16, 2025",48d,268,Put,284.08,-16.55%,-75.00,-39.5%,-3.00,48d,14%,-1.90,1.15,-1.54,-13.67,-3.569,33.9,0.3%,-115.00,
5WW34822,GLD   250516P00275000,OPTION,-1,"May 16, 2025",48d,275,Put,284.08,-17.07%,149.00,38.8%,3.00,48d,78%,3.84,-2.35,2.82,25.07,4.870,33.9,0.3%,235.00,
5WW34822,SPY   250417C00580000,OPTION,-1,"Apr 17, 2025",19d,580,Call,555.73,-64.75%,212.00,59.7%,14.00,19d,83%,3.55,-1.43,-12.50,-12.50,11.197,39.5,1.4%,143.00,
5WW34822,SPY   250417C00584000,OPTION,1,"Apr 17, 2025",19d,584,Call,555.73,-68.30%,-179.00,-67.8%,-9.00,19d,14%,-2.64,0.85,8.33,8.33,-8.006,39.5,1.4%,-85.00,
5WW34822,SPY   250417P00574000,OPTION,1,"Apr 17, 2025",19d,574,Put,555.73,93.3%,-496.00,-19.1%,82.00,19d,39%,-25.94,20.98,-83.99,-83.99,-11.825,39.5,1.4%,-271.00,
5WW34822,SPY   250417P00580000,OPTION,-1,"Apr 17, 2025",19d,580,Put,555.73,65.1%,448.00,14.8%,-92.00,19d,58%,30.31,-25.83,92.95,92.95,5.781,39.5,1.4%,156.00,
5WW34822,TLT   250530C00095000,OPTION,-1,"May 30, 2025",62d,95,Call,90.14,59.1%,-23.00,-47.9%,1.00,62d,82%,0.48,-0.71,-1.75,-21.87,1.347,33.7,0.4%,71.00,
5WW34822,TLT   250530C00100000,OPTION,1,"May 30, 2025",62d,100,Call,90.14,43.8%,7.00,43.8%,0.00,62d,5%,-0.16,0.23,0.63,7.86,-0.745,33.7,0.4%,-23.00,
5WW34822,TLT   250530P00080000,OPTION,1,"May 30, 2025",62d,80,Put,90.14,-27.27%,-1.00,-10.0%,0.00,62d,3%,-0.10,0.09,-0.28,-3.52,-0.378,33.7,0.4%,-9.00,
5WW34822,TLT   250530P00085000,OPTION,-1,"May 30, 2025",62d,85,Put,90.14,-31.58%,9.00,18.8%,1.00,62d,84%,0.48,-0.39,1.16,14.50,0.951,33.7,0.4%,39.00,
5WW34822,UAL   250516C00085000,OPTION,-1,"May 16, 2025",48d,85,Call,70.23,-31.39%,281.00,63.1%,-2.00,48d,86%,4.45,-1.64,-2.78,-20.63,4.283,76.9,3.1%,164.00,
5WW34822,UAL   250516C00095000,OPTION,1,"May 16, 2025",48d,95,Call,70.23,-31.94%,-119.00,-68.8%,-1.00,48d,7%,-1.73,0.54,1.13,8.38,-2.269,76.9,3.1%,-54.00,
5WW34822,UAL   250516P00072500,OPTION,1,"May 16, 2025",48d,72.5,Put,70.23,32.5%,389.00,114.1%,14.00,48d,47%,-3.41,7.30,-7.08,-52.45,-5.962,76.9,3.1%,-503.00,
5WW34822,UAL   250516P00082500,OPTION,-1,"May 16, 2025",48d,82.5,Put,70.23,33.4%,-614.00,-78.9%,0.00,48d,38%,7.78,-13.92,10.46,77.44,4.149,76.9,3.1%,165.00,
5WW34822,XLF   250516P00048000,OPTION,-1,"May 16, 2025",48d,48,Put,49.19,65.5%,-31.00,-55.4%,5.00,48d,67%,0.56,-0.87,3.10,36.24,1.391,58.4,3.0%,87.00,
5WW34822,XOP   250516C00140000,OPTION,-1,"May 16, 2025",48d,140,Call,130.68,-11.69%,30.00,13.0%,1.00,48d,79%,2.31,-2.01,-7.77,-26.40,4.413,36.9,0.3%,201.00,
5WW34822,XOP   250516C00145000,OPTION,1,"May 16, 2025",48d,145,Call,130.68,-13.91%,-18.00,-15.0%,0.00,48d,14%,-1.20,1.02,4.63,15.74,-3.170,36.9,0.3%,-102.00,
5WW34822,XOP   250516P00120000,OPTION,1,"May 16, 2025",48d,120,Put,130.68,31.0%,30.00,22.6%,-1.00,48d,18%,-1.33,1.63,-5.82,-19.78,-3.977,36.9,0.3%,-163.00,
5WW34822,XOP   250516P00125000,OPTION,-1,"May 16, 2025",48d,125,Put,130.68,16.7%,-49.00,-20.5%,1.00,48d,72%,2.39,-2.88,9.23,31.39,4.856,36.9,0.3%,288.00,
